date,self_built,rqalpha_align,rqalpha_full
2018-10-22,1517367.7550607861,1476895.8885,1419094.9675
2018-10-23,1496826.7192864076,1457858.3285,1400777.4275
2018-10-24,1501798.4669629098,1462391.4485,1405135.0075
2018-10-25,1509466.266322903,1469184.4085,1411638.6475
2018-10-26,1518388.93839851,1477431.8885,1419544.4675
2018-10-29,1505331.8526808221,1465382.0485,1408001.4075
2018-10-30,1521342.2810460106,1480153.8085,1422195.7475
2018-10-31,1529902.4250054199,1488129.2485,1429855.7075
2018-11-01,1532607.9284187597,1491011.8285,1432610.5475
2018-11-02,1552203.9383343137,1509377.2385,1449267.5991
2018-11-05,1543397.3355890322,1501310.2385,1441506.5991
2018-11-06,1542328.0395728669,1500316.2385,1440562.5991
2018-11-07,1535889.4805241306,1494431.2385,1434890.5991
2018-11-08,1537039.7920568197,1495463.2385,1435896.5991
2018-11-09,1512555.1263167742,1473083.2385,1414342.5991
2018-11-12,1523348.5146296357,1482963.2385,1423859.5991
2018-11-13,1533629.4494750805,1492367.2385,1432916.5991
2018-11-14,1528530.1961703799,1487711.2385,1428446.5991
2018-11-15,1543484.4667540512,1501398.2385,1441629.5991
2018-11-16,1546993.4692255761,1504621.2385,1444721.5991
2018-11-19,1557281.950255925,1514027.2385,1453775.5991
2018-11-20,1534632.2314252001,1493291.2385,1433808.5991
2018-11-21,1536777.350883434,1495255.2385,1435701.5991
2018-11-22,1534746.3479415427,1493387.2385,1433902.5991
2018-11-23,1511290.7025320246,1471921.2385,1413240.5991
2018-11-26,1513630.6396055818,1474067.2385,1415303.5991
2018-11-27,1508150.9546811052,1469065.2385,1410478.5991
2018-11-28,1521156.9632385336,1480925.2385,1421918.5991
2018-11-29,1513051.706107368,1473486.2385,1414765.5991
2018-11-30,1521135.4066788664,1480880.2385,1421881.5991
2018-12-03,1545651.2374496693,1503286.2385,1443464.5991
2018-12-04,1549048.0147387565,1506459.6703,1445883.6013
2018-12-05,1543610.668247848,1501361.6703,1440981.6013
2018-12-06,1526659.529867277,1485803.6703,1426060.6013
2018-12-07,1522080.6798551092,1481839.0973,1422268.9245
2018-12-10,1508015.9075231263,1469431.2973,1410384.8845
2018-12-11,1498849.8794800444,1461177.3973,1402494.5645
2018-12-12,1496356.884432122,1459131.2973,1400556.8845
2018-12-13,1504972.509541471,1467484.8973,1408575.7645
2018-12-14,1482759.20129271,1447282.1473,1389230.1645
2018-12-17,1482161.6310817527,1446950.9473,1388937.0045
2018-12-18,1465416.7846003764,1431772.2973,1374387.2845
2018-12-19,1458879.612949936,1426106.0973,1368971.9245
2018-12-20,1440000.1230218215,1408944.2973,1352527.8845
2018-12-21,1438363.9302644732,1407277.3473,1350913.7245
2018-12-24,1439088.9512911278,1408062.5473,1351670.4845
2018-12-25,1433989.3710447606,1403126.7973,1346923.0845
2018-12-26,1435785.6460460832,1404419.3473,1348147.9245
2018-12-27,1439098.0273329637,1407657.7473,1351263.0445
2018-12-28,1451580.7872579894,1419492.2973,1362608.6845
2019-01-02,1435030.9170538068,1404254.9473,1347994.4045
2019-01-03,1437045.0887762248,1406488.9391,1349545.3714
2019-01-04,1462275.147671002,1431065.9391,1373056.3714
2019-01-07,1466261.5690646968,1434961.9391,1376781.3714
2019-01-08,1459279.0359554486,1428144.9391,1370268.3714
2019-01-09,1463462.2307125614,1432214.9391,1374148.3714
2019-01-10,1456592.681096607,1425499.9391,1367744.3714
2019-01-11,1463030.5790160683,1431785.9391,1373755.3714
2019-01-14,1448801.5675738119,1417926.9391,1360514.3714
2019-01-15,1459172.6510610268,1428028.9391,1370175.3714
2019-01-16,1458192.1189049482,1427085.9391,1369274.3714
2019-01-17,1455793.6731676236,1424772.9391,1367060.3714
2019-01-18,1475423.5244680173,1443889.9391,1385315.3714
2019-01-21,1479470.2200457037,1447815.9391,1389012.3714
2019-01-22,1467516.2759354177,1436157.9391,1377853.3714
2019-01-23,1467829.378949341,1436484.9391,1378152.3714
2019-01-24,1475462.7827178375,1443917.9391,1385241.3714
2019-01-25,1484798.9223914747,1453015.9391,1393960.3714
2019-01-28,1484481.3495687,1452707.9391,1393681.3714
2019-01-29,1490357.8342762503,1458448.9391,1399123.3714
2019-01-30,1487566.5545031517,1455702.9391,1396478.3714
2019-01-31,1493804.790461611,1461773.9391,1402333.3714
2019-02-01,1502927.6185608115,1470673.9391,1410819.3714
2019-02-11,1514734.7360198381,1482212.4981,1421189.7672
2019-02-12,1522286.7889895542,1489590.4981,1428266.7672
2019-02-13,1541414.4673147511,1508277.4981,1446201.7672
2019-02-14,1539839.3552104519,1506731.4981,1444717.7672
2019-02-15,1527531.1186065462,1494702.4981,1433175.7672
2019-02-18,1553385.2726795073,1519958.4981,1457409.7672
2019-02-19,1547428.3993220043,1514157.4981,1451840.7672
2019-02-20,1547957.4072412332,1514680.4981,1452340.7672
2019-02-21,1535923.4132353093,1502941.4981,1441072.7672
2019-02-22,1559000.9696553329,1525548.4981,1462765.7672
2019-02-25,1650208.92267531,1614797.4981,1548391.7672
2019-02-26,1642310.409680274,1607010.4981,1540908.7672
2019-02-27,1659781.7963631707,1624163.4981,1557360.7672
2019-02-28,1650864.2924192634,1615401.4981,1548967.7672
2019-03-01,1673421.824197314,1637478.4981,1570145.7672
2019-03-04,1689303.2503473938,1653011.9755,1584013.9637
2019-03-05,1697812.012693176,1661328.9755,1591989.9637
2019-03-06,1725309.770949598,1688098.9755,1617674.9637
2019-03-07,1732364.3405216422,1694966.9755,1624241.9637
2019-03-08,1660189.3328352773,1624595.9755,1556786.9637
2019-03-11,1694109.000433671,1657628.9755,1588465.9637
2019-03-12,1705727.1529701464,1668977.9755,1599347.9637
2019-03-13,1680800.6087864018,1644710.9755,1576091.9637
2019-03-14,1670492.2516038534,1634605.9755,1566414.9637
2019-03-15,1686540.2187864163,1650314.9755,1581472.9637
2019-03-18,1728527.47368152,1691193.9755,1620653.9637
2019-03-19,1727478.3051691614,1690138.9755,1619675.9637
2019-03-20,1721121.143410991,1683957.9755,1613742.9637
2019-03-21,1722988.9792605813,1685782.9755,1615495.9637
2019-03-22,1738098.980252212,1700520.9755,1629650.9637
2019-03-25,1719276.6424337924,1682205.9755,1612099.9637
2019-03-26,1699695.5962128746,1663128.9755,1593810.9637
2019-03-27,1712385.5844080818,1675555.9755,1605719.9637
2019-03-28,1702088.1187551962,1665505.9755,1596100.9637
2019-03-29,1741986.9491085084,1704423.9755,1633405.9637
2019-04-01,1794563.2431154281,1755678.9755,1682547.9637
2019-04-02,1801953.1939624785,1762946.3573,1688289.5724
2019-04-03,1818184.8286009491,1778734.3573,1703457.5724
2019-04-04,1832609.0277948366,1792796.3573,1716929.5724
2019-04-08,1838038.76153978,1798098.3573,1722005.5724
2019-04-09,1828917.8180133933,1789186.3573,1713487.5724
2019-04-10,1830530.5200331723,1790699.3573,1715015.5724
2019-04-11,1814941.6264175214,1775535.3573,1700440.5724
2019-04-12,1825441.754416024,1785761.3573,1710261.5724
2019-04-15,1823391.2018400822,1783784.3573,1708351.5724
2019-04-16,1866939.3512309212,1826196.3573,1749036.5724
2019-04-17,1865556.6396065068,1824835.3573,1747745.5724
2019-04-18,1847344.5679920672,1807089.3573,1730716.5724
2019-04-19,1853824.3023892974,1813393.3573,1736767.5724
2019-04-22,1826019.1891502223,1786334.3573,1710780.5724
2019-04-23,1820633.432551694,1781100.3573,1705752.5724
2019-04-24,1817740.8282922588,1778268.3573,1703052.5724
2019-04-25,1795688.2705185467,1756826.3573,1682453.5724
2019-04-26,1771519.9689642645,1733312.3573,1659880.5724
2019-04-29,1783664.2317209623,1745165.3573,1671239.5724
2019-04-30,1794380.703451704,1755618.3573,1681221.5724
2019-05-06,1743589.2575972301,1706195.3573,1633772.5724
2019-05-07,1753133.4576150794,1715497.1905,1641922.8432
2019-05-08,1736472.7889911185,1699225.1905,1626328.8432
2019-05-09,1722672.0162072429,1685755.1905,1613412.8432
2019-05-10,1748098.1863287112,1710527.1905,1637186.8432
2019-05-13,1726629.6799420987,1689601.1905,1617106.8432
2019-05-14,1719706.221074402,1682847.1905,1610629.8432
2019-05-15,1735445.1992413418,1698185.4405,1625329.0732
2019-05-16,1744161.8476715717,1706670.6905,1633484.2632
2019-05-17,1718032.1723958107,1681240.9405,1609090.9332
2019-05-20,1719821.6881537912,1683000.6905,1610804.4232
2019-05-21,1730033.2918459985,1692950.1905,1620339.2832
2019-05-22,1727993.7656402711,1690989.6905,1618445.5832
2019-05-23,1717337.9464113114,1680609.6905,1608504.9032
2019-05-24,1718002.0886608793,1681293.1905,1609129.9232
2019-05-27,1730165.2749918199,1693119.6905,1620483.6232
2019-05-28,1743843.492423041,1706465.1905,1633289.7232
2019-05-29,1735737.6556245429,1698567.1905,1625691.4432
2019-05-30,1743609.9004328477,1706288.6905,1633077.5832
2019-05-31,1738104.0290292855,1700923.2505,1627911.9432
2019-06-03,1745266.9075043234,1707935.7405,1634603.4932
2019-06-04,1742628.0291717905,1705348.0459,1631221.9344
2019-06-05,1748870.3231388307,1711424.0459,1637030.9344
