date,strategy_nav,benchmark_nav
2015-01-09,1172577.9042661586,1180598.787087162
2015-01-12,1182412.1538613485,1169565.134897358
2015-01-13,1191512.0662336906,1169719.5867215372
2015-01-14,1186115.2777546744,1165852.6323217738
2015-01-15,1185395.7406719832,1199704.8771825058
2015-01-16,1193959.7510820958,1210032.1785729385
2015-01-19,1167828.8218997908,1116831.4874010251
2015-01-20,1194852.7362115076,1130501.4724518196
2015-01-21,1213170.7643210206,1181318.4526989625
2015-01-22,1217682.2042166407,1187552.4478783347
2015-01-23,1207064.2040174247,1188923.5406882362
2015-01-26,1232179.53415584,1200991.088063171
2015-01-27,1240364.78898593,1189988.392812265
2015-01-28,1229617.6190647555,1173475.362437516
2015-01-29,1210960.6598785552,1158987.1821629447
2015-01-30,1205488.9718936211,1143206.4664718045
2015-02-02,1202727.6112633024,1116433.7073797015
2015-02-03,1211796.4278809712,1144223.3852710882
2015-02-04,1198048.6296465946,1132347.5711951342
2015-02-05,1187649.0727566655,1120756.3612348556
2015-02-06,1170543.7311448792,1102606.2746719313
2015-02-09,1179572.2610777353,1113757.762951734
2015-02-10,1188796.78576529,1134070.1750531679
2015-02-11,1201050.2874042664,1143117.92296915
2015-02-12,1216335.447322655,1146030.538188047
2015-02-13,1234934.5959881004,1155002.7245434935
2015-02-16,1262045.4378204842,1164873.9936082244
2015-02-17,1271884.4804431428,1172476.418635012
2015-02-25,1280459.5543633734,1157965.603179311
2015-02-26,1280891.1637817705,1187113.7248087912
2015-02-27,1286631.289276234,1189293.3596034583
2015-03-02,1309810.1298816726,1198754.199575058
2015-03-03,1301838.8993356572,1167675.763013648
2015-03-04,1332676.6268138518,1175305.8162762267
2015-03-05,1335368.1392806694,1163829.1137028395
2015-03-06,1322660.5435657098,1157896.0332843682
2015-03-09,1340133.3526810138,1177611.9417889717
2015-03-10,1349078.7855414632,1171906.8775333513
2015-03-11,1342891.0242853593,1173252.339329326
2015-03-12,1350280.601970543,1195951.0986883913
2015-03-13,1358763.1331911967,1204210.6097085623
